COUNTRY_CODE,COUNTRY_NAME,AREA_CODE,AREA_NAME,ADMIN_LEVEL,ITEM_CODE,ITEM_NAME,YEAR,AEREA_HARVESTED,SOURCE
AGO,Angola,AGO001,Bengo,1,125,Cassava,Most recent,38565.3,AgroMapsAdm1
AGO,Angola,AGO002,Benguela,1,125,Cassava,Most recent,59654.28,AgroMapsAdm1
AGO,Angola,AGO003,Bie,1,125,Cassava,Most recent,70435.31,AgroMapsAdm1
AGO,Angola,AGO004,Cabinda,1,125,Cassava,Most recent,61747.02,AgroMapsAdm1
AGO,Angola,AGO005,Cuando Cubango,1,125,Cassava,Most recent,17641.21,AgroMapsAdm1
AGO,Angola,AGO006,Cuanza Norte,1,125,Cassava,Most recent,72309.5,AgroMapsAdm1
AGO,Angola,AGO007,Cuanza Sul,1,125,Cassava,Most recent,72882.46,AgroMapsAdm1
AGO,Angola,AGO008,Cunene,1,125,Cassava,Most recent,3525.89,AgroMapsAdm1
AGO,Angola,AGO009,Huambo,1,125,Cassava,Most recent,10588.49,AgroMapsAdm1
AGO,Angola,AGO010,Huila,1,125,Cassava,Most recent,35754.39,AgroMapsAdm1
AGO,Angola,AGO011,Luanda,1,125,Cassava,Most recent,1812.03,AgroMapsAdm1
AGO,Angola,AGO012,Lunda Norte,1,125,Cassava,Most recent,79870.25,AgroMapsAdm1
AGO,Angola,AGO013,Lunda Sul,1,125,Cassava,Most recent,85113.23,AgroMapsAdm1
AGO,Angola,AGO014,Malanje,1,125,Cassava,Most recent,142551.9,AgroMapsAdm1
AGO,Angola,AGO015,Moxico,1,125,Cassava,Most recent,87805.77,AgroMapsAdm1
AGO,Angola,AGO016,Namibe,1,125,Cassava,Most recent,4906.57,AgroMapsAdm1
AGO,Angola,AGO017,Uige,1,125,Cassava,Most recent,183085.8,AgroMapsAdm1
AGO,Angola,AGO018,Zaire,1,125,Cassava,Most recent,34615.17,AgroMapsAdm1
BFA,Burkina Faso,BFA046,Boucle du Mouhoun,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA047,Cascades,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA013,Centre,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA048,Centre-Est,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA049,Centre-Nord,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA050,Centre-Ouest,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA051,Centre-Sud,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA052,Est,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA053,Hauts-Bassins,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA054,Nord,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA055,Plateau Central,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA056,Sahel,1,125,Cassava,Most recent,,AgroMapsAdm1
BFA,Burkina Faso,BFA057,Sud-Ouest,1,125,Cassava,Most recent,,AgroMapsAdm1
BDI,Burundi,BDI001,Bubanza,1,125,Cassava,2008,6927,IITA
BDI,Burundi,BDI002,Bujumbura,1,125,Cassava,2008,5845,IITA
BDI,Burundi,BDI003,Bururi,1,125,Cassava,2008,4327,IITA
BDI,Burundi,BDI004,Cankuzo,1,125,Cassava,2008,1014,IITA
BDI,Burundi,BDI005,Cibitoke,1,125,Cassava,2008,6597,IITA
BDI,Burundi,BDI006,Gitega,1,125,Cassava,2008,9680,IITA
BDI,Burundi,BDI007,Karuzi,1,125,Cassava,2008,3509,IITA
BDI,Burundi,BDI008,Kayanza,1,125,Cassava,2008,4595,IITA
BDI,Burundi,BDI009,Kirundo,1,125,Cassava,2008,,IITA
BDI,Burundi,BDI010,Makamba,1,125,Cassava,2008,3202,IITA
BDI,Burundi,BDI011,Muramviya,1,125,Cassava,2008,3656,IITA
BDI,Burundi,BDI012,Muyinga,1,125,Cassava,2008,5059,IITA
BDI,Burundi,BDI013,Ngozi,1,125,Cassava,2008,5507,IITA
BDI,Burundi,BDI014,Rutana,1,125,Cassava,2008,2250,IITA
BDI,Burundi,BDI015,Ruyigi,1,125,Cassava,2008,1830,IITA
CMR,Cameroon,CMR001,Adamoua,1,125,Cassava,Most recent,,AgroMapsAdm1
CMR,Cameroon,CMR002,Centre,1,125,Cassava,Most recent,,AgroMapsAdm1
CMR,Cameroon,CMR003,Est,1,125,Cassava,Most recent,,AgroMapsAdm1
CMR,Cameroon,CMR004,Extreme-Nord,1,125,Cassava,Most recent,,AgroMapsAdm1
CMR,Cameroon,CMR005,Littoral,1,125,Cassava,Most recent,,AgroMapsAdm1
CMR,Cameroon,CMR006,Nord,1,125,Cassava,Most recent,,AgroMapsAdm1
CMR,Cameroon,CMR007,Nord-Ouest,1,125,Cassava,Most recent,,AgroMapsAdm1
CMR,Cameroon,CMR008,Ouest,1,125,Cassava,Most recent,,AgroMapsAdm1
CMR,Cameroon,CMR009,Sud,1,125,Cassava,Most recent,,AgroMapsAdm1
CMR,Cameroon,CMR010,Sud-Ouest,1,125,Cassava,Most recent,,AgroMapsAdm1
CAF,Central African Republic,CAF001,Bamingui-Bangora,1,125,Cassava,2008,2141,IITA
CAF,Central African Republic,CAF003,Basse-Kotto,1,125,Cassava,2008,14726,IITA
CAF,Central African Republic,CAF004,Haut-Mbomou,1,125,Cassava,2008,6336,IITA
CAF,Central African Republic,CAF005,Haute-Kotto,1,125,Cassava,2008,2537,IITA
CAF,Central African Republic,CAF006,Kemo,1,125,Cassava,2008,16505,IITA
CAF,Central African Republic,CAF007,Lobaye,1,125,Cassava,2008,8645,IITA
CAF,Central African Republic,CAF008,Mambere-Kadei,1,125,Cassava,2008,11376,IITA
CAF,Central African Republic,CAF009,Mbomou,1,125,Cassava,2008,2537,IITA
CAF,Central African Republic,CAF010,Nana-Gribingui,1,125,Cassava,2008,6617,IITA
CAF,Central African Republic,CAF011,Nana-Mambere,1,125,Cassava,2008,15135,IITA
CAF,Central African Republic,CAF012,Ombella-Mpoko,1,125,Cassava,2008,40944,IITA
CAF,Central African Republic,CAF013,Ouaka,1,125,Cassava,2008,25204,IITA
CAF,Central African Republic,CAF014,Ouham,1,125,Cassava,2008,5621,IITA
CAF,Central African Republic,CAF015,Ouham-Pende,1,125,Cassava,2008,33176,IITA
CAF,Central African Republic,CAF016,Sangha,1,125,Cassava,2008,5000,IITA
CAF,Central African Republic,CAF017,Vakaga,1,125,Cassava,2008,1500,IITA
COG,Congo,COG001,Bouenza,1,125,Cassava,2008,30631,IITA
COG,Congo,COG002,Cuvette,1,125,Cassava,2008,12031,IITA
COG,Congo,COG004,Lekoumou,1,125,Cassava,2008,5680,IITA
COG,Congo,COG006,Niari,1,125,Cassava,2008,11415,IITA
COG,Congo,COG007,Plateaux,1,125,Cassava,2008,,IITA
COG,Congo,COG008,Pool,1,125,Cassava,2008,50242,IITA
COG,Congo,COG009,Sangha,1,125,Cassava,2008,,IITA
COD,"Congo,  Dem Republic of",COD001,Bandundu,1,125,Cassava,2008,384752,IITA
COD,"Congo,  Dem Republic of",COD002,Bas-Zaire,1,125,Cassava,2008,151083,IITA
COD,"Congo,  Dem Republic of",COD003,Equateur,1,125,Cassava,2008,196459,IITA
COD,"Congo,  Dem Republic of",COD004,Haut-Zaire,1,125,Cassava,2008,258943,IITA
COD,"Congo,  Dem Republic of",COD005,Kasai-Occidental,1,125,Cassava,2008,130376,IITA
COD,"Congo,  Dem Republic of",COD006,Kasai-Oriental,1,125,Cassava,2008,145165,IITA
COD,"Congo,  Dem Republic of",COD007,Kinshasa,1,125,Cassava,2008,2576,IITA
COD,"Congo,  Dem Republic of",COD008,Kivu,1,125,Cassava,2008,297494,IITA
COD,"Congo,  Dem Republic of",COD009,Lake Kivu,1,125,Cassava,2008,,IITA
COD,"Congo,  Dem Republic of",COD010,Lake Mweru,1,125,Cassava,2008,,IITA
COD,"Congo,  Dem Republic of",COD011,Shaba,1,125,Cassava,2008,284203,IITA
CIV,Cote d'Ivoire,CIV051,AGNEBY,1,125,Cassava,Most recent,3398.17,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV052,BAFING,1,125,Cassava,Most recent,634.51,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV053,BAS SASSANDRA,1,125,Cassava,Most recent,31446.91,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV054,DENGUELE,1,125,Cassava,Most recent,8627.56,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV055,FROMAGER,1,125,Cassava,Most recent,1883.85,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV056,HAUT SASSANDRA,1,125,Cassava,Most recent,22779.08,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV057,LACS,1,125,Cassava,Most recent,4439.71,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV058,LAGUNES,1,125,Cassava,Most recent,42646.06,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV059,MARAHOUE,1,125,Cassava,Most recent,1253.65,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV060,MONTAGNES,1,125,Cassava,Most recent,14306.84,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV061,MOYEN CAVALLY,1,125,Cassava,Most recent,10544.59,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV062,MOYEN COMOE,1,125,Cassava,Most recent,2851.03,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV063,N'ZI COMOE,1,125,Cassava,Most recent,3462.17,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV064,SAVANES,1,125,Cassava,Most recent,10576.67,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV065,SUD BANDAMA,1,125,Cassava,Most recent,12865.25,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV066,SUD COMOE,1,125,Cassava,Most recent,54178.17,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV067,VAL DU BANDAMA,1,125,Cassava,Most recent,66821.6,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV068,WORODOUGOU,1,125,Cassava,Most recent,2962.8,AgroMapsAdm1
CIV,Cote d'Ivoire,CIV069,ZANZAN,1,125,Cassava,Most recent,24272.78,AgroMapsAdm1
GMB,Gambia,GMB002,Lower River,1,125,Cassava,Most recent,,AgroMapsAdm1
GMB,Gambia,GMB003,Maccarthy Island,1,125,Cassava,Most recent,,AgroMapsAdm1
GMB,Gambia,GMB004,North Bank,1,125,Cassava,Most recent,,AgroMapsAdm1
GMB,Gambia,GMB005,Upper River,1,125,Cassava,Most recent,,AgroMapsAdm1
GMB,Gambia,GMB006,Western,1,125,Cassava,Most recent,,AgroMapsAdm1
GHA,Ghana,GHA001,Ashanti,1,125,Cassava,Most recent,121540.5136,AgroMapsAdm1
GHA,Ghana,GHA002,Brong Ahafo,1,125,Cassava,Most recent,184903,AgroMapsAdm1
GHA,Ghana,GHA003,Central,1,125,Cassava,Most recent,122274.86,AgroMapsAdm1
GHA,Ghana,GHA004,Eastern,1,125,Cassava,Most recent,186165,AgroMapsAdm1
GHA,Ghana,GHA005,Greater Accra,1,125,Cassava,Most recent,6741.5,AgroMapsAdm1
GHA,Ghana,GHA006,Lake Volta,1,125,Cassava,Most recent,54940,AgroMapsAdm1
GHA,Ghana,GHA007,Northern,1,125,Cassava,Most recent,89320,AgroMapsAdm1
GHA,Ghana,GHA008,Upper East,1,125,Cassava,Most recent,,AgroMapsAdm1
GHA,Ghana,GHA009,Upper West,1,125,Cassava,Most recent,,AgroMapsAdm1
GHA,Ghana,GHA010,Volta,1,125,Cassava,Most recent,105169,AgroMapsAdm1
GHA,Ghana,GHA011,Western,1,125,Cassava,Most recent,73250,AgroMapsAdm1
GIN,Guinea,GIN002,Conakry,1,125,Cassava,Most recent,15159,AgroMapsAdm1
GIN,Guinea,GIN004,Kankan,1,125,Cassava,Most recent,1699,AgroMapsAdm1
GIN,Guinea,GIN008,NZerekore,1,125,Cassava,Most recent,790,AgroMapsAdm1
GNB,Guinea-Bissau,GNB001,Bafata,1,125,Cassava,Most recent,1226,IITA
GNB,Guinea-Bissau,GNB002,Biombo,1,125,Cassava,Most recent,1304,IITA
GNB,Guinea-Bissau,GNB003,Bissau,1,125,Cassava,Most recent,,IITA
GNB,Guinea-Bissau,GNB004,Bolama,1,125,Cassava,Most recent,,IITA
GNB,Guinea-Bissau,GNB005,Cacheu,1,125,Cassava,Most recent,209,IITA
GNB,Guinea-Bissau,GNB006,Gabu,1,125,Cassava,Most recent,835,IITA
GNB,Guinea-Bissau,GNB007,Oio,1,125,Cassava,Most recent,1226,IITA
GNB,Guinea-Bissau,GNB008,Quinara,1,125,Cassava,Most recent,,IITA
GNB,Guinea-Bissau,GNB009,Tombali,1,125,Cassava,Most recent,,IITA
KEN,Kenya,KEN001,CENTRAL,1,125,Cassava,Most recent,999,AgroMapsAdm1
KEN,Kenya,KEN002,COAST,1,125,Cassava,Most recent,10745,AgroMapsAdm1
KEN,Kenya,KEN003,EASTERN,1,125,Cassava,Most recent,8101,AgroMapsAdm1
KEN,Kenya,KEN004,N. EASTERN,1,125,Cassava,Most recent,999,AgroMapsAdm1
KEN,Kenya,KEN005,NAIROBI,1,125,Cassava,Most recent,11,AgroMapsAdm1
KEN,Kenya,KEN006,NYANZA,1,125,Cassava,Most recent,18010,AgroMapsAdm1
KEN,Kenya,KEN007,RIFT VALLEY,1,125,Cassava,Most recent,662,AgroMapsAdm1
KEN,Kenya,KEN008,WESTERN,1,125,Cassava,Most recent,17144,AgroMapsAdm1
LBR,Liberia,LBR001,Bomi Terr.,1,125,Cassava,2008,1617,IITA
LBR,Liberia,LBR002,Bong,1,125,Cassava,2008,11449,IITA
