CONTINENT_CODE,CONTINENT_NAME,COUNTRY_CODE,COUNTRY_NAME,AREA_CODE,AREA_NAME,ADMIN_LEVEL,ITEM_CODE,ITEM_NAME,YEAR,PRODUCTION,SOURCE,COMMENTS,,
AFR,All African countries,AGO,Angola,AGO001,Bengo,1,125,Cassava,2012,430691.83,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO002,Benguela,1,125,Cassava,2012,331019.2,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO003,Bie,1,125,Cassava,2012,332571.65,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO004,Cabinda,1,125,Cassava,2012,899655.67,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO005,Cuando Cubango,1,125,Cassava,2012,196487.51,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO006,Cuanza Norte,1,125,Cassava,2012,853707.2,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO007,Cuanza Sul,1,125,Cassava,2012,698511.41,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO008,Cunene,1,125,Cassava,2012,32448.1,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO009,Huambo,1,125,Cassava,2012,51296.31,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO010,Huila,1,125,Cassava,2012,168360.8,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO011,Luanda,1,125,Cassava,2012,15547.5,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO012,Lunda Norte,1,125,Cassava,2012,736321.9,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO013,Lunda Sul,1,125,Cassava,2012,807585.06,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO014,Malanje,1,125,Cassava,2012,1520154.35,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO015,Moxico,1,125,Cassava,2012,936528.84,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO016,Namibe,1,125,Cassava,2012,46529.03,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO017,Uige,1,125,Cassava,2012,2135133.96,AgroMapsAdm1,,,
AFR,All African countries,AGO,Angola,AGO018,Zaire,1,125,Cassava,2012,443849.49,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI001,Bubanza,1,125,Cassava,2012,85788,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI002,Bujumbura,1,125,Cassava,2012,135011,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI003,Bururi,1,125,Cassava,2012,60020,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI004,Cankuzo,1,125,Cassava,2012,43145,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI005,Cibitoke,1,125,Cassava,2012,140203,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI006,Gitega,1,125,Cassava,2012,173156,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI007,Karuzi,1,125,Cassava,2012,92697,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI008,Kayanza,1,125,Cassava,2012,27715,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI009,Kirundo,1,125,Cassava,2012,75515,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI010,Makamba,1,125,Cassava,2012,118182,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI011,Muramviya,1,125,Cassava,2012,69664,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI012,Muyinga,1,125,Cassava,2012,99247,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI013,Ngozi,1,125,Cassava,2012,29829,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI014,Rutana,1,125,Cassava,2012,10067,AgroMapsAdm1,,,
AFR,All African countries,BDI,Burundi,BDI015,Ruyigi,1,125,Cassava,2012,84368,AgroMapsAdm1,,,
AFR,All African countries,BFA,Burkina Faso,BFA013,Centre,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,BFA,Burkina Faso,BFA046,Boucle du Mouhoun,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
